"Alias","Run","Habitat","Individual","Dataset","Acc.no","total.input.read..pairs.","Rejected.1st.read.pair","Rejected.2nd.read.pair","Accepted.1st.read.pair","Accepted.2nd.read.pair","Singleton.1st.read.pair","Singleton.2nd.read.pair","Avg.read.length","AvgQual.read.quality..if.quality.information.available.","average.accumulated.Error","Latitude","Longitude","Date.when.the.sample.was.collected."
"G2658","ERR1877802","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",16062736,1032058,9141585,15030678,6921151,8148883,39356,235,35,0.981,"-9.44","147.38","11/5/2011"
"S248","ERR1877808","Temperate_coniferous_forests","-","Global_soil","ENA_ERP020652",835756,27489,147522,808267,688234,124969,4936,237,35.3,0.916,"36.23","-112.07","8/17/2013"
"G2629","ERR1877809","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",1138512,169373,456838,969139,681674,310990,23525,237,35.9,0.695,"58.05","24.71","8/30/2011"
"G2650","ERR1877811","Mediterrean","-","Global_soil","ENA_ERP020652",3133361,103016,737939,3030345,2395422,646700,11777,239,35.4,0.893,"-33.18","117.05","11/3/2011"
"G2650","ERR1877812","Mediterrean","-","Global_soil","ENA_ERP020652",3133361,103016,737939,3030345,2395422,646700,11777,239,35.4,0.893,"-33.18","117.05","11/3/2011"
"S199","ERR1877814","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",787883,123901,385870,663982,402013,277787,15818,237,35.6,0.792,"18.53","98.39","6/16/2012"
"G2728","ERR1877816","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",17325740,4459033,7409920,12866707,9915820,3855080,904193,228,35,0.661,"-5.82","145.14","11/24/2011"
"G2728","ERR1877817","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",17325740,4459033,7409920,12866707,9915820,3855080,904193,228,35,0.661,"-5.82","145.14","11/24/2011"
"G2728","ERR1877818","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",17325740,4459033,7409920,12866707,9915820,3855080,904193,228,35,0.661,"-5.82","145.14","11/24/2011"
"G2728","ERR1877819","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",17325740,4459033,7409920,12866707,9915820,3855080,904193,228,35,0.661,"-5.82","145.14","11/24/2011"
"G2728","ERR1877820","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",17325740,4459033,7409920,12866707,9915820,3855080,904193,228,35,0.661,"-5.82","145.14","11/24/2011"
"S211","ERR1877828","Temperate_coniferous_forests","-","Global_soil","ENA_ERP020652",721241,113696,237212,607545,484029,155269,31753,236,35.6,0.793,"30.46","78.17","10/9/2012"
"G3059","ERR1877836","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",898052,26736,274061,871316,623991,249866,2541,238,35.4,0.911,"13.52","75.02","1/15/2013"
"G2659","ERR1877837","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",11108432,2172010,3724751,8936422,7383681,2218320,665579,237,35.7,0.845,"-9.42","147.38","11/6/2011"
"G2659","ERR1877838","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",11108432,2172010,3724751,8936422,7383681,2218320,665579,237,35.7,0.845,"-9.42","147.38","11/6/2011"
"G2659","ERR1877839","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",11108432,2172010,3724751,8936422,7383681,2218320,665579,237,35.7,0.845,"-9.42","147.38","11/6/2011"
"G2659","ERR1877840","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",11108432,2172010,3724751,8936422,7383681,2218320,665579,237,35.7,0.845,"-9.42","147.38","11/6/2011"
"S062","ERR1877841","Savannas","-","Global_soil","ENA_ERP020652",1115124,164377,319088,950747,796036,205098,50387,239,35.9,0.777,"-37.73","145.24","5/18/2012"
"S005","ERR1877842","Dry_tropical_forests","-","Global_soil","ENA_ERP020652",2082511,271641,782683,1810870,1299828,561789,50747,241,36.2,0.733,"-24.95","47.00","3/20/2010"
"S070a","ERR1877846","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",1996961,459564,751760,1537397,1245201,300738,8542,232,35.1,0.712,"3.37","12.74","4/21/2012"
"S070a","ERR1877847","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",1996961,459564,751760,1537397,1245201,300738,8542,232,35.1,0.712,"3.37","12.74","4/21/2012"
"S188","ERR1877848","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",861213,142585,435699,718628,425514,307529,14415,238,35.8,0.784,"42.38","128.09","2012-10"
"AV104","ERR1877851","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",5606732,653226,1409928,4953506,4196804,966536,209834,241,36.4,0.701,"-0.35","-72.06","4/1/2012"
"AV104","ERR1877852","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",5606732,653226,1409928,4953506,4196804,966536,209834,241,36.4,0.701,"-0.35","-72.06","4/1/2012"
"G2653","ERR1877853","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",825333,123461,320903,701872,504430,218417,20975,239,36,0.763,"-9.43","147.35","11/5/2011"
"S149","ERR1877855","Temperate_coniferous_forests","-","Global_soil","ENA_ERP020652",1267868,44867,251595,1223001,1016273,214043,7315,237,35.3,0.919,"37.81","-119.89","8/1/2012"
"S177","ERR1877857","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",993101,153113,471528,839988,521573,338304,19889,237,35.7,0.782,"-17.02","145.58","8/1/2012"
"S177","ERR1877858","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",993101,153113,471528,839988,521573,338304,19889,237,35.7,0.782,"-17.02","145.58","8/1/2012"
"G2742","ERR1877871","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",12321400,2269892,3697770,10051508,8623630,2170749,742871,238,36,0.806,"-6.19","145.34","11/30/2011"
"G2742","ERR1877872","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",12321400,2269892,3697770,10051508,8623630,2170749,742871,238,36,0.806,"-6.19","145.34","11/30/2011"
"G2742","ERR1877873","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",12321400,2269892,3697770,10051508,8623630,2170749,742871,238,36,0.806,"-6.19","145.34","11/30/2011"
"G2742","ERR1877874","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",12321400,2269892,3697770,10051508,8623630,2170749,742871,238,36,0.806,"-6.19","145.34","11/30/2011"
"G3242","ERR1877886","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",1353921,174093,524927,1179828,828994,379774,28940,241,36.3,0.762,"59.49","25.36","6/15/2013"
"G3242","ERR1877887","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",1353921,174093,524927,1179828,828994,379774,28940,241,36.3,0.762,"59.49","25.36","6/15/2013"
"S107","ERR1877890","Boreal_forests","-","Global_soil","ENA_ERP020652",21613183,2550006,6344127,19063177,15269056,4469195,675074,17.6,36.4,0.69,"42.06","128.26","10/1/2012"
"S107","ERR1877891","Boreal_forests","-","Global_soil","ENA_ERP020652",21613183,2550006,6344127,19063177,15269056,4469195,675074,17.6,36.4,0.69,"42.06","128.26","10/1/2012"
"S260","ERR1877909","Southern_temperate_forests","-","Global_soil","ENA_ERP020652",1016661,29132,146593,987529,870068,123906,6445,238,35.4,0.911,"-49.38","-72.88","11/14/2013"
"S037","ERR1877914","Boreal_forests","-","Global_soil","ENA_ERP020652",977119,30571,143433,946548,833686,118245,5383,239,35.5,0.892,"43.29","142.60","6/11/2010"
"G3504","ERR1877923","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",1073002,142565,267894,930437,805108,175368,50039,240,36.2,0.775,"36.78","12.01","11/22/2013"
"S208","ERR1877924","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",733372,111656,249182,621716,484190,164910,27384,238,35.8,0.791,"58.16","22.50","5/17/2012"
"S128","ERR1877927","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",813824,113168,247769,700656,566055,166566,31965,239,36,0.783,"38.02","14.04","4/10/2012"
"S142","ERR1877930","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",2498025,498830,875922,1999195,1622103,475861,98769,235,35.7,0.682,"8.76","-82.22","2/12/2012"
"S111","ERR1877931","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",1051863,30791,182854,1021072,869009,157678,5615,238,35.4,0.912,"39.96","115.43","10/1/2012"
"S111","ERR1877932","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",1051863,30791,182854,1021072,869009,157678,5615,238,35.4,0.912,"39.96","115.43","10/1/2012"
